Week,ILI,GFT,AR52,ARGO,state
2014-11-30,0.8654335651999999,0.9958229707717332,1.1987025046893651,1.1105265152708923,SD
2014-12-07,1.4310954064,1.0213145034489948,1.1915505641246749,1.0782312351937269,SD
2014-12-14,1.8459353923,2.311578234344233,1.508117830520295,1.4537367879798015,SD
2014-12-21,3.0188679245,3.1792707889356344,1.7568338688401717,2.0054035162254977,SD
2014-12-28,2.8245614035,6.523563787479447,2.5760952617478816,3.656486525732152,SD
2015-01-04,2.528548124,4.8568097278123465,2.5510095022912807,2.9969333688460766,SD
2015-01-11,3.2123113701,6.815735969703447,2.23492475287231,2.7345268113697867,SD
2015-01-18,3.3488063660000003,4.937206100102171,2.818727520358765,3.256677430296346,SD
2015-01-25,2.3367378521,4.4263950029924315,2.879862256125989,3.140567058090058,SD
2015-02-01,2.157943067,2.4645274304078018,2.1496630952179467,2.29184740868402,SD
2015-02-08,2.3600701642,2.3007933551346222,1.9880442586327711,2.088391189470248,SD
2015-02-15,1.8777157045,2.046858471926517,2.0504485744345207,2.0632596674227672,SD
2015-02-22,1.9297979031,1.7448818540574185,1.8104056572551253,1.9610638326905283,SD
2015-03-01,1.6862390846000002,2.022347382813765,1.7657956010354994,1.7849692837738709,SD
2015-03-08,1.5179677819,1.8458675412019545,1.5564141716934183,1.5346245265142826,SD
2015-03-15,1.133105802,1.6566419332515132,1.4270930664326384,1.4573477613713255,SD
2015-03-22,1.4453348598,1.3056431371569122,1.2243776460613467,1.418040679172396,SD
2015-03-29,1.409034397,1.3781959609306562,1.3279094059985677,1.2752649749809186,SD
2015-04-05,1.0552624271,1.4232963648981192,1.2566993428625677,1.2507737466935498,SD
2015-04-12,1.0286951814,1.6115415292840505,1.081976925242377,1.1314977692434274,SD
2015-04-19,1.0186757216,1.2644645074474894,0.9955843497226072,0.8911165562694601,SD
2015-04-26,0.9910047263,1.092886883658229,1.0426540076008146,0.8562222234567851,SD
2015-05-03,0.6306134149,0.8683653073854255,0.9572231178058672,0.7338376135214468,SD
2015-05-10,0.5486189936,0.7605165152893192,0.7437510514611871,0.5134210427885613,SD
2015-05-17,0.5897873661,0.7065921192412657,0.6158612761324624,0.6409914303815025,SD
2015-05-24,0.5066387142000001,0.6193326419998705,0.5849183299788592,0.6479284601489038,SD
2015-05-31,0.7070340827,0.5850171172420183,0.5476059499364041,0.436801367390965,SD
2015-06-07,0.5769588684,0.5575646974357367,0.7029602323643455,0.6561280604512622,SD
2015-06-14,0.3766140603,0.5310927211939651,0.6279580834482594,0.5250583197902332,SD
2015-06-21,0.5530973451,0.4987380835651332,0.4673120624357805,0.4183340464258638,SD
2015-06-28,0.9778357236,0.4810900994039521,0.5034524142608591,0.2654375498539265,SD
2015-07-05,0.5785740948,0.4546181231621805,0.8097200281503785,0.5463819170540789,SD
2015-07-12,0.6537168472,0.4575594538557107,0.6455173306518589,0.5154939404844772,SD
2015-07-19,0.5764875438,0.4457941310815899,0.7408670099594984,0.6559566837449089,SD
2015-07-26,0.5207290206,0.4271657033558988,0.6522666474782959,0.6108325300921081,SD
2015-08-02,0.5254648343,0.4261852597913888,0.6092055097866146,0.6643632017256861,SD
2015-08-09,0.5688551789999999,0.4006937271141272,0.6121134277372545,0.5774490378716126,SD
2015-08-16,0.5411764706000001,0.0,0.6480875507163177,0.62205884971213,SD
2015-08-23,0.8923742564,0.0,0.6644957311651584,0.6982690795592575,SD
2015-08-30,0.6014644351,0.0,0.8442966146848692,0.7424726502608412,SD
