Metric,State,Model,2012-13,2013-14,2014-15,2015-16,2016-17,Whole Period,GFT Period
PEARSON,ME,AR52,0.792,0.807,0.8140000000000001,0.18,0.7340000000000001,0.807,0.8390000000000001
PEARSON,ME,ARGO,0.8009999999999999,0.8420000000000001,0.889,0.503,0.861,0.831,0.846
PEARSON,MI,GFT,0.945,0.879,0.976,--,--,0.855,0.855
PEARSON,MI,AR52,0.902,0.8759999999999999,0.843,0.805,0.91,0.914,0.9009999999999999
PEARSON,MI,ARGO,0.917,0.929,0.9329999999999999,0.93,0.924,0.925,0.9159999999999999
PEARSON,MN,GFT,0.7829999999999999,0.818,0.917,--,--,0.701,0.701
PEARSON,MN,AR52,0.8170000000000001,0.8640000000000001,0.8270000000000001,0.618,0.867,0.853,0.855
PEARSON,MN,ARGO,0.862,0.88,0.912,0.721,0.883,0.884,0.8909999999999999
PEARSON,NC,GFT,0.873,0.94,0.972,--,--,0.878,0.878
PEARSON,NC,AR52,0.805,0.75,0.8340000000000001,0.8320000000000001,0.878,0.85,0.816
PEARSON,NC,ARGO,0.892,0.898,0.9590000000000001,0.897,0.941,0.925,0.922
PEARSON,ND,GFT,0.565,0.9279999999999999,0.812,--,--,0.672,0.672
PEARSON,ND,AR52,0.701,0.7759999999999999,0.804,0.675,0.5579999999999999,0.807,0.828
PEARSON,ND,ARGO,0.6920000000000001,0.877,0.7709999999999999,0.67,0.731,0.8140000000000001,0.813
PEARSON,NE,GFT,0.917,0.795,0.8190000000000001,--,--,0.764,0.764
PEARSON,NE,AR52,0.871,0.41,0.7909999999999999,0.589,0.7959999999999999,0.883,0.8740000000000001
PEARSON,NE,ARGO,0.9,0.698,0.802,0.638,0.868,0.879,0.8640000000000001
PEARSON,NH,GFT,0.915,0.775,0.898,--,--,0.873,0.873
PEARSON,NH,AR52,0.8590000000000001,0.672,0.846,0.809,0.706,0.843,0.857
PEARSON,NH,ARGO,0.8859999999999999,0.779,0.9079999999999999,0.8640000000000001,0.7909999999999999,0.88,0.898
PEARSON,NJ,GFT,0.841,0.8290000000000001,0.872,--,--,0.784,0.784
PEARSON,NJ,AR52,0.8959999999999999,0.758,0.767,0.897,0.914,0.915,0.8690000000000001
PEARSON,NJ,ARGO,0.938,0.873,0.898,0.934,0.9279999999999999,0.9159999999999999,0.9109999999999999
PEARSON,NM,GFT,0.8740000000000001,0.892,0.9440000000000001,--,--,0.866,0.866
PEARSON,NM,AR52,0.823,0.904,0.8759999999999999,0.809,0.938,0.8909999999999999,0.889
PEARSON,NM,ARGO,0.853,0.9079999999999999,0.9390000000000001,0.883,0.9670000000000001,0.907,0.9
PEARSON,NV,GFT,0.73,0.941,0.92,--,--,0.7979999999999999,0.7979999999999999
PEARSON,NV,AR52,0.883,0.883,0.914,0.812,0.8759999999999999,0.91,0.9179999999999999
PEARSON,NV,ARGO,0.914,0.878,0.9390000000000001,0.903,0.878,0.929,0.9329999999999999
PEARSON,NY,GFT,0.8640000000000001,0.875,0.883,--,--,0.745,0.745
PEARSON,NY,AR52,0.878,0.853,0.861,0.755,0.6509999999999999,0.7979999999999999,0.897
PEARSON,NY,ARGO,0.905,0.9279999999999999,0.9229999999999999,0.779,0.7979999999999999,0.862,0.9259999999999999
PEARSON,OH,GFT,0.846,0.95,0.97,--,--,0.89,0.89
PEARSON,OH,AR52,0.887,0.873,0.831,0.764,0.866,0.885,0.885
PEARSON,OH,ARGO,0.89,0.961,0.932,0.8390000000000001,0.9309999999999999,0.9309999999999999,0.9309999999999999
PEARSON,OR,GFT,0.85,0.9470000000000001,0.8220000000000001,--,--,0.83,0.83
PEARSON,OR,AR52,0.809,0.8009999999999999,0.6759999999999999,0.6709999999999999,0.7340000000000001,0.8140000000000001,0.82
PEARSON,OR,ARGO,0.835,0.8740000000000001,0.823,0.743,0.8009999999999999,0.852,0.866
PEARSON,PA,GFT,0.873,0.9540000000000001,0.943,--,--,0.818,0.818
PEARSON,PA,AR52,0.887,0.9129999999999999,0.8690000000000001,0.773,0.872,0.905,0.9109999999999999
PEARSON,PA,ARGO,0.9309999999999999,0.94,0.95,0.89,0.9570000000000001,0.943,0.9470000000000001
PEARSON,RI,GFT,0.922,0.8740000000000001,0.937,--,--,0.799,0.799
PEARSON,RI,AR52,0.877,0.82,0.873,0.8320000000000001,-0.077,0.879,0.8859999999999999
PEARSON,RI,ARGO,0.971,0.935,0.97,0.9590000000000001,0.386,0.9540000000000001,0.963
PEARSON,SC,GFT,0.767,0.9159999999999999,0.975,--,--,0.8590000000000001,0.8590000000000001
PEARSON,SC,AR52,0.882,0.8809999999999999,0.8540000000000001,0.5429999999999999,0.867,0.9179999999999999,0.892
PEARSON,SC,ARGO,0.975,0.945,0.9840000000000001,0.524,0.8959999999999999,0.9420000000000001,0.9670000000000001
PEARSON,SD,GFT,0.787,0.799,0.888,--,--,0.775,0.775
PEARSON,SD,AR52,0.93,0.841,0.902,0.8059999999999999,0.894,0.919,0.924
PEARSON,SD,ARGO,0.899,0.89,0.9159999999999999,0.855,0.9420000000000001,0.9309999999999999,0.9279999999999999
PEARSON,TN,GFT,0.872,0.96,0.9640000000000001,--,--,0.883,0.883
PEARSON,TN,AR52,0.865,0.9,0.9279999999999999,0.433,0.777,0.8959999999999999,0.92
PEARSON,TN,ARGO,0.932,0.981,0.961,0.563,0.875,0.937,0.96
PEARSON,TX,GFT,0.9279999999999999,0.9179999999999999,0.9179999999999999,--,--,0.805,0.805
PEARSON,TX,AR52,0.9309999999999999,0.894,0.85,0.684,0.9279999999999999,0.902,0.909
PEARSON,TX,ARGO,0.9620000000000001,0.9229999999999999,0.87,0.725,0.958,0.9229999999999999,0.919
PEARSON,UT,GFT,0.847,0.84,0.8959999999999999,--,--,0.8690000000000001,0.8690000000000001
PEARSON,UT,AR52,0.888,0.6679999999999999,0.902,0.867,0.893,0.9009999999999999,0.893
PEARSON,UT,ARGO,0.8859999999999999,0.902,0.904,0.872,0.875,0.909,0.91
PEARSON,VA,GFT,0.948,0.977,0.973,--,--,0.8290000000000001,0.8290000000000001
PEARSON,VA,AR52,0.9179999999999999,0.955,0.9,0.785,0.865,0.9259999999999999,0.934
PEARSON,VA,ARGO,0.9640000000000001,0.987,0.983,0.963,0.9470000000000001,0.97,0.973
PEARSON,VT,GFT,0.7659999999999999,0.701,0.818,--,--,0.701,0.701
PEARSON,VT,AR52,0.8640000000000001,0.743,0.888,0.6679999999999999,0.807,0.872,0.853
PEARSON,VT,ARGO,0.9129999999999999,0.82,0.899,0.6729999999999999,0.826,0.89,0.8759999999999999
PEARSON,WA,GFT,0.935,0.9329999999999999,0.9590000000000001,--,--,0.8,0.8
PEARSON,WA,AR52,0.884,0.862,0.9359999999999999,0.7340000000000001,0.846,0.9009999999999999,0.924
PEARSON,WA,ARGO,0.91,0.9259999999999999,0.9470000000000001,0.8140000000000001,0.846,0.917,0.941
PEARSON,WI,GFT,0.922,0.557,0.91,--,--,0.655,0.655
PEARSON,WI,AR52,0.893,0.642,0.813,0.618,0.866,0.888,0.899
PEARSON,WI,ARGO,0.9309999999999999,0.66,0.863,0.64,0.868,0.895,0.903
PEARSON,WV,GFT,0.9740000000000001,0.929,0.96,--,--,0.815,0.815
PEARSON,WV,AR52,0.907,0.9129999999999999,0.934,0.626,--,0.932,0.9440000000000001
PEARSON,WV,ARGO,0.95,0.97,0.9840000000000001,0.8370000000000001,--,0.958,0.9640000000000001
MAPE,AK,GFT,1.213,0.35200000000000004,0.737,--,--,0.94,0.94
MAPE,AK,AR52,0.44799999999999995,0.409,0.484,0.48100000000000004,0.349,0.5710000000000001,0.653
MAPE,AK,ARGO,0.514,0.466,0.579,0.44799999999999995,0.359,0.596,0.713
MAPE,AL,GFT,2.503,1.248,0.843,--,--,2.084,2.084
MAPE,AL,AR52,0.419,0.16399999999999998,0.244,0.7979999999999999,0.514,0.521,0.418
MAPE,AL,ARGO,0.54,0.151,0.226,0.72,0.426,0.49200000000000005,0.431
MAPE,AR,GFT,3.467,0.26,0.17800000000000002,--,--,1.3780000000000001,1.3780000000000001
MAPE,AR,AR52,0.428,0.262,0.361,0.516,--,0.525,0.51
MAPE,AR,ARGO,0.506,0.247,0.386,0.396,--,0.6,0.605
MAPE,AZ,GFT,0.29600000000000004,0.20800000000000002,0.16899999999999998,--,--,0.19699999999999998,0.19699999999999998
MAPE,AZ,AR52,0.166,0.122,0.11699999999999999,0.14,0.14400000000000002,0.163,0.14
MAPE,AZ,ARGO,0.146,0.12,0.09699999999999999,0.159,0.141,0.153,0.121
MAPE,DE,GFT,1.072,1.068,2.747,--,--,1.59,1.59
MAPE,DE,AR52,0.486,0.889,2.346,1.26,1.9780000000000002,1.3630000000000002,1.193
MAPE,DE,ARGO,0.64,0.893,2.342,0.97,2.128,1.3769999999999998,1.263
MAPE,GA,GFT,1.911,1.078,0.782,--,--,1.889,1.889
MAPE,GA,AR52,0.153,0.20800000000000002,0.265,0.19399999999999998,0.187,0.23800000000000002,0.258
MAPE,GA,ARGO,0.23600000000000002,0.22899999999999998,0.314,0.324,0.256,0.45,0.519
MAPE,ID,GFT,2.677,0.843,0.228,--,--,2.303,2.303
