Week Start Date,Year,MMWR Week,State,Visit Count,Flu Vaccine Visit Count,Flu Visit Count,ILI Visit Count,CDC ILI Visit Count,Unspecified Viral or ILI Visit Count
04/18/2010,2010,16,SC,7748,12,5,21,16,58
04/18/2010,2010,16,TN,8134,14,4,17,13,31
04/18/2010,2010,16,TX,25840,104,37,108,75,291
04/18/2010,2010,16,UT,1413,1,2,16,14,24
04/18/2010,2010,16,VA,13706,9,5,62,57,89
04/18/2010,2010,16,WA,1265,0,0,1,1,1
04/18/2010,2010,16,WI,417,0,0,0,0,0
04/18/2010,2010,16,WV,636,0,0,0,0,4
04/18/2010,2010,16,WY,433,0,0,2,2,4
04/25/2010,2010,17,AL,1778,0,0,0,0,1
04/25/2010,2010,17,ALL STATES,321856,614,197,1081,889,3047
04/25/2010,2010,17,AR,4547,3,6,14,8,25
04/25/2010,2010,17,AZ,8780,0,1,8,7,18
04/25/2010,2010,17,CA,6803,29,2,10,8,30
04/25/2010,2010,17,CO,1488,0,0,2,2,14
04/25/2010,2010,17,CT,2931,4,0,5,5,22
04/25/2010,2010,17,DE,295,0,0,0,0,1
04/25/2010,2010,17,FL,9080,8,14,36,22,83
04/25/2010,2010,17,GA,16732,10,16,77,61,112
04/25/2010,2010,17,IA,116,0,0,0,0,2
04/25/2010,2010,17,IL,21168,54,3,37,34,149
04/25/2010,2010,17,IN,1707,5,2,8,6,10
04/25/2010,2010,17,KS,4769,1,2,6,4,17
04/25/2010,2010,17,KY,8035,0,0,17,17,74
04/25/2010,2010,17,LA,10311,52,23,64,44,196
04/25/2010,2010,17,MA,45142,136,9,119,110,424
04/25/2010,2010,17,MD,5547,8,5,11,6,56
04/25/2010,2010,17,MI,2497,4,2,7,5,11
04/25/2010,2010,17,MN,40,0,0,0,0,0
04/25/2010,2010,17,MO,1964,1,3,6,3,24
04/25/2010,2010,17,MS,4194,1,3,18,15,45
04/25/2010,2010,17,MT,1,0,0,0,0,0
04/25/2010,2010,17,NC,7431,8,16,88,73,121
04/25/2010,2010,17,NH,158,0,0,0,0,2
04/25/2010,2010,17,NJ,8822,25,21,32,11,165
04/25/2010,2010,17,NM,3889,29,4,6,2,15
04/25/2010,2010,17,NV,287,0,0,0,0,0
04/25/2010,2010,17,NY,8314,13,3,8,5,136
04/25/2010,2010,17,OH,58047,55,11,195,184,580
04/25/2010,2010,17,OK,2813,0,2,24,22,26
04/25/2010,2010,17,OR,2577,1,3,6,3,14
04/25/2010,2010,17,PA,8185,17,3,5,2,42
04/25/2010,2010,17,RI,3462,54,0,6,6,48
